Seed,Scheme,Approach,w1,b1,b2,wy,by,k_best,base_estimator,Missing_Percent,Accuracy,Balanced_Acc,F1,ROC_AUC,Imputation_score
0,MAR1,label_propagation,3.0,2.0,,,,,,65.33,0.7692307692307693,0.8235294117647058,0.7857142857142857,0.8888888888888888,"[0.5909090909090909, 0.6515151515151515, 0.6666666666666666, 0.6818181818181819, 0.7121212121212122, 0.7121212121212122, 0.7121212121212122, 0.7111742424242424, 0.7111742424242424, 0.7111742424242424, 0.7111742424242424, 0.7111742424242424, 0.7111742424242424, 0.7111742424242424, 0.7111742424242424, 0.7111742424242424, 0.7111742424242424, 0.7111742424242424, 0.7111742424242424]"
0,MAR2,naive,,,0.0,,,,,46.67,0.7307692307692307,0.6633986928104575,0.8108108108108109,0.8823529411764706,[]
0,MAR2,self_training,,,0.0,,,1.0,SVC,46.67,0.8461538461538461,0.8562091503267973,0.875,0.9411764705882354,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.9285714285714286, 0.8888888888888888, 0.9, 0.9090909090909092, 0.8535353535353536, 0.8181818181818182, 0.8333333333333334, 0.8095238095238095, 0.7916666666666667, 0.7777777777777778, 0.7267206477732794, 0.717948717948718]"
0,MAR2,self_training,,,0.0,,,1.0,LogisticRegression,46.67,0.8076923076923077,0.8006535947712419,0.8484848484848485,0.8562091503267973,"[1.0, 0.8333333333333333, 0.875, 0.8333333333333333, 0.8571428571428572, 0.7571428571428571, 0.7916666666666667, 0.75, 0.725, 0.7525252525252526, 0.7350427350427351, 0.7222222222222222, 0.7124183006535948, 0.7333333333333334, 0.7511961722488039, 0.7424242424242424, 0.717948717948718]"
0,MAR2,self_training,,,0.0,,,1.0,RandomForestClassifier,46.67,0.8076923076923077,0.7745098039215685,0.8571428571428571,0.9084967320261439,"[1.0, 1.0, 0.875, 0.9, 0.8571428571428572, 0.875, 0.85, 0.8636363636363636, 0.7922077922077921, 0.8125, 0.7905982905982906, 0.8006993006993006, 0.8076923076923077, 0.8128205128205128, 0.8167420814479638, 0.819838056680162, 0.8223443223443223]"
0,MAR2,self_training,,,0.0,,,1.0,XGBClassifier,46.67,0.9615384615384616,0.9444444444444444,0.9714285714285714,0.9803921568627451,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.875, 0.8375, 0.8500000000000001, 0.8636363636363636, 0.875, 0.8452380952380952, 0.8541666666666667, 0.8611111111111112, 0.8666666666666667, 0.8712121212121212]"
0,MAR2,label_propagation,,,0.0,,,,,46.67,0.7692307692307693,0.6928104575163399,0.8421052631578947,0.8300653594771241,"[0.5909090909090909, 0.5909090909090909, 0.513986013986014, 0.4755244755244755, 0.4370629370629371, 0.46678321678321677, 0.46678321678321677, 0.49650349650349646, 0.5646853146853147, 0.5716783216783217, 0.5402097902097902, 0.5629370629370629, 0.5629370629370629, 0.6083916083916083, 0.6083916083916083, 0.6083916083916083, 0.6083916083916083, 0.6083916083916083, 0.5699300699300699, 0.5699300699300699, 0.5699300699300699, 0.5699300699300699, 0.5699300699300699, 0.5699300699300699, 0.5699300699300699, 0.5699300699300699, 0.5699300699300699, 0.5699300699300699, 0.5699300699300699, 0.5699300699300699, 0.5699300699300699, 0.5699300699300699, 0.5699300699300699, 0.5699300699300699, 0.5699300699300699, 0.5699300699300699, 0.5699300699300699, 0.5699300699300699, 0.5699300699300699, 0.5699300699300699]"
0,MAR2,naive,,,2.0,,,,,64.0,0.8461538461538461,0.8562091503267973,0.875,0.9281045751633987,[]
0,MAR2,self_training,,,2.0,,,1.0,SVC,64.0,0.8846153846153846,0.8333333333333333,0.918918918918919,0.9869281045751633,"[1.0, 1.0, 1.0, 0.75, 0.7083333333333333, 0.6666666666666666, 0.7142857142857143, 0.6904761904761905, 0.6666666666666666, 0.7, 0.725, 0.7428571428571429, 0.75625, 0.7299465240641712, 0.7392344497607655, 0.7166666666666667, 0.7234848484848485, 0.7040133779264214, 0.7092307692307692, 0.6923076923076923, 0.6964285714285714, 0.7, 0.703125, 0.7058823529411764]"
0,MAR2,self_training,,,2.0,,,1.0,LogisticRegression,64.0,0.7692307692307693,0.7712418300653594,0.8125,0.8758169934640523,"[1.0, 0.8333333333333333, 0.875, 0.6333333333333333, 0.6190476190476191, 0.6875, 0.7333333333333334, 0.7666666666666666, 0.7922077922077921, 0.8125, 0.829059829059829, 0.8428571428571429, 0.825, 0.7916666666666667, 0.7777777777777778, 0.7666666666666666, 0.7802197802197802, 0.7709030100334449, 0.7630769230769231, 0.7564102564102564, 0.7506631299734747, 0.7619047619047619, 0.7566964285714286, 0.7668067226890756]"
0,MAR2,self_training,,,2.0,,,1.0,RandomForestClassifier,64.0,0.8846153846153846,0.8856209150326797,0.9090909090909091,0.9477124183006536,"[1.0, 1.0, 0.875, 0.9, 0.8, 0.8333333333333334, 0.7916666666666667, 0.75, 0.7777777777777778, 0.8, 0.8181818181818182, 0.7937062937062938, 0.8090909090909091, 0.820855614973262, 0.8301435406698565, 0.8, 0.8068181818181819, 0.7809364548494984, 0.7861538461538462, 0.7905982905982906, 0.7944297082228117, 0.7714285714285715, 0.7745535714285714, 0.7773109243697479]"
0,MAR2,self_training,,,2.0,,,1.0,XGBClassifier,64.0,0.7692307692307693,0.7189542483660131,0.8333333333333334,0.9150326797385621,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.9285714285714286, 0.8888888888888888, 0.9, 0.875, 0.8846153846153846, 0.8928571428571428, 0.875, 0.8611111111111112, 0.85, 0.7777777777777777, 0.7909090909090909, 0.7569169960474309, 0.769090909090909, 0.7403846153846154, 0.7165242165242165, 0.7254641909814323, 0.7047619047619048, 0.7120535714285714, 0.7184873949579832]"
0,MAR2,label_propagation,,,2.0,,,,,64.0,0.8076923076923077,0.7745098039215685,0.8571428571428571,0.9150326797385622,"[0.5588235294117647, 0.5756302521008403, 0.6197478991596639, 0.6491596638655461, 0.6008403361344539, 0.6680672268907563, 0.6470588235294117, 0.6260504201680672, 0.6260504201680672, 0.6260504201680672, 0.6260504201680672, 0.6260504201680672, 0.6260504201680672, 0.6260504201680672, 0.6407563025210083, 0.6407563025210083, 0.6407563025210083, 0.6407563025210083, 0.6407563025210083, 0.6407563025210083, 0.6407563025210083, 0.6407563025210083, 0.6407563025210083, 0.6407563025210083, 0.6407563025210083, 0.6407563025210083, 0.6407563025210083, 0.6407563025210083, 0.6407563025210083, 0.6407563025210083, 0.6407563025210083, 0.6407563025210083]"
0,MNAR,naive,,,,1.0,0.0,,,49.33,0.8076923076923077,0.826797385620915,0.8387096774193549,0.9019607843137256,[]
0,MNAR,self_training,,,,1.0,0.0,1.0,SVC,49.33,0.8076923076923077,0.826797385620915,0.8387096774193549,0.8496732026143791,"[1.0, 1.0, 1.0, 0.9, 0.8, 0.7571428571428571, 0.7916666666666667, 0.7666666666666666, 0.7922077922077921, 0.8125, 0.7946428571428572, 0.8111111111111111, 0.7973856209150327, 0.7865497076023391, 0.8015873015873016, 0.7636363636363637, 0.775, 0.7846153846153847]"
