Seed,Scheme,Approach,k_best,base_estimator,Missing_Percent,Accuracy,Balanced_Acc,F1,ROC_AUC
4,MAR2,self_training,1.0,RandomForestClassifier,40.0,0.7307692307692307,0.7418300653594772,0.7741935483870968,0.7777777777777777
4,MAR2,self_training,1.0,XGBClassifier,40.0,0.7692307692307693,0.7973856209150327,0.8,0.7973856209150326
4,MAR2,label_propagation,,,40.0,0.6923076923076923,0.6862745098039216,0.75,0.6993464052287582
4,MNAR,naive,,,50.67,0.7692307692307693,0.7450980392156863,0.8235294117647058,0.8758169934640523
4,MNAR,self_training,1.0,SVC,50.67,0.8461538461538461,0.8562091503267973,0.875,0.9150326797385621
4,MNAR,self_training,1.0,LogisticRegression,50.67,0.7692307692307693,0.7973856209150327,0.8,0.8758169934640523
4,MNAR,self_training,1.0,RandomForestClassifier,50.67,0.8846153846153846,0.8856209150326797,0.9090909090909091,0.9019607843137256
4,MNAR,self_training,1.0,XGBClassifier,50.67,0.8076923076923077,0.8006535947712419,0.8484848484848485,0.8888888888888888
4,MNAR,label_propagation,,,50.67,0.7307692307692307,0.7679738562091503,0.7586206896551724,0.8235294117647058
5,None,Oracle,,,0.0,0.8076923076923077,0.7745098039215685,0.8571428571428571,0.9084967320261439
5,MCAR_0.2,naive,,,21.33,0.8461538461538461,0.8300653594771241,0.8823529411764706,0.9019607843137255
5,MCAR_0.2,self_training,1.0,SVC,21.33,0.8461538461538461,0.8300653594771241,0.8823529411764706,0.954248366013072
5,MCAR_0.2,self_training,1.0,LogisticRegression,21.33,0.8461538461538461,0.8300653594771241,0.8823529411764706,0.954248366013072
5,MCAR_0.2,self_training,1.0,RandomForestClassifier,21.33,0.8461538461538461,0.8300653594771241,0.8823529411764706,0.954248366013072
5,MCAR_0.2,self_training,1.0,XGBClassifier,21.33,0.8076923076923077,0.7745098039215685,0.8571428571428571,0.8758169934640523
5,MCAR_0.2,label_propagation,,,21.33,0.8076923076923077,0.8006535947712419,0.8484848484848485,0.7973856209150326
5,MCAR_0.5,naive,,,53.33,0.6923076923076923,0.6862745098039216,0.75,0.8496732026143792
5,MCAR_0.5,self_training,1.0,SVC,53.33,0.8846153846153846,0.8856209150326797,0.9090909090909091,0.9084967320261438
5,MCAR_0.5,self_training,1.0,LogisticRegression,53.33,0.8846153846153846,0.8856209150326797,0.9090909090909091,0.8954248366013071
5,MCAR_0.5,self_training,1.0,RandomForestClassifier,53.33,0.9230769230769231,0.9150326797385621,0.9411764705882353,0.9084967320261438
5,MCAR_0.5,self_training,1.0,XGBClassifier,53.33,0.8076923076923077,0.8006535947712419,0.8484848484848485,0.8888888888888888
5,MCAR_0.5,label_propagation,,,53.33,0.7692307692307693,0.7973856209150327,0.8,0.7777777777777778
5,MCAR_0.8,naive,,,74.67,0.7307692307692307,0.6111111111111112,0.8292682926829268,0.7777777777777778
5,MCAR_0.8,self_training,1.0,SVC,74.67,0.7307692307692307,0.7418300653594772,0.7741935483870968,0.7712418300653594
5,MCAR_0.8,self_training,1.0,LogisticRegression,74.67,0.6923076923076923,0.6862745098039216,0.75,0.8104575163398693
5,MCAR_0.8,self_training,1.0,RandomForestClassifier,74.67,0.6923076923076923,0.6862745098039216,0.75,0.7908496732026143
5,MCAR_0.8,self_training,1.0,XGBClassifier,74.67,0.6538461538461539,0.630718954248366,0.7272727272727273,0.738562091503268
5,MCAR_0.8,label_propagation,,,74.67,0.6538461538461539,0.6045751633986928,0.7428571428571429,0.6013071895424836
5,MAR1,naive,,,41.33,0.7307692307692307,0.7156862745098038,0.7878787878787878,0.8431372549019608
5,MAR1,self_training,1.0,SVC,41.33,0.7692307692307693,0.7712418300653594,0.8125,0.869281045751634
5,MAR1,self_training,1.0,LogisticRegression,41.33,0.8076923076923077,0.8006535947712419,0.8484848484848485,0.869281045751634
5,MAR1,self_training,1.0,RandomForestClassifier,41.33,0.7692307692307693,0.7712418300653594,0.8125,0.869281045751634
5,MAR1,self_training,1.0,XGBClassifier,41.33,0.8461538461538461,0.8300653594771241,0.8823529411764706,0.9411764705882353
5,MAR1,label_propagation,,,41.33,0.6923076923076923,0.7124183006535948,0.7333333333333333,0.7973856209150327
5,MAR2,naive,,,54.67,0.8076923076923077,0.8006535947712419,0.8484848484848485,0.8627450980392157
5,MAR2,self_training,1.0,SVC,54.67,0.7692307692307693,0.7712418300653594,0.8125,0.8758169934640523
5,MAR2,self_training,1.0,LogisticRegression,54.67,0.7692307692307693,0.7712418300653594,0.8125,0.8366013071895425
5,MAR2,self_training,1.0,RandomForestClassifier,54.67,0.7307692307692307,0.7418300653594772,0.7741935483870968,0.8169934640522877
5,MAR2,self_training,1.0,XGBClassifier,54.67,0.8076923076923077,0.8006535947712419,0.8484848484848485,0.7712418300653595
5,MAR2,label_propagation,,,54.67,0.5769230769230769,0.6503267973856208,0.56,0.7712418300653595
5,MNAR,naive,,,44.0,0.7692307692307693,0.7712418300653594,0.8125,0.7973856209150327
5,MNAR,self_training,1.0,SVC,44.0,0.8846153846153846,0.8856209150326797,0.9090909090909091,0.869281045751634
5,MNAR,self_training,1.0,LogisticRegression,44.0,0.7307692307692307,0.7156862745098038,0.7878787878787878,0.8039215686274509
5,MNAR,self_training,1.0,RandomForestClassifier,44.0,0.8076923076923077,0.8006535947712419,0.8484848484848485,0.7516339869281046
5,MNAR,self_training,1.0,XGBClassifier,44.0,0.7692307692307693,0.7450980392156863,0.8235294117647058,0.8496732026143791
5,MNAR,label_propagation,,,44.0,0.6153846153846154,0.6797385620915033,0.6153846153846154,0.7712418300653595
6,None,Oracle,,,0.0,0.8076923076923077,0.7745098039215685,0.8571428571428571,0.8692810457516339
6,MCAR_0.2,naive,,,18.67,0.8076923076923077,0.7745098039215685,0.8571428571428571,0.8235294117647058
6,MCAR_0.2,self_training,1.0,SVC,18.67,0.8076923076923077,0.7745098039215685,0.8571428571428571,0.823529411764706
6,MCAR_0.2,self_training,1.0,LogisticRegression,18.67,0.8076923076923077,0.7745098039215685,0.8571428571428571,0.8366013071895424
